id	text	tweet
736	Brumar	1053080662415151104
737	Folha	1053080666668183553
738	Datafolha	1053080666668183553
739	Eleições2018	1053080666668183553
740	G1	1053080758028525568
741	Eleições2018	1053080758028525568
742	G1	1053080790894960640
743	Brumar	1053080813695328258
744	G1	1053080836852142080
745	Eleições2018	1053080836852142080
746	G1	1053080839007993857
747	G1Rio	1053080839007993857
748	G1	1053080880565153793
749	G1Rio	1053080880565153793
750	FolhaPutinhaDoPT	1053080881638899712
751	G1	1053080882662334464
752	G1Rio	1053080882662334464
753	G1	1053080886944653312
754	G1Rio	1053080886944653312
755	MarketeiroDoJair	1053080913435918337
756	G1	1053080917927968769
757	Eleições2018	1053080917927968769
758	FolhaPutinhaDoPT	1053080919693766656
759	FolhaMarmitaDoPT	1053080919693766656
760	G1	1053080920801140743
761	MarketeirosDoJair	1053080927444914178
762	CadêAProva	1053080932440260614
